conversation_id,tweet_id,text,timestamp,text_clean,cluster_id
conv_138124,160316,"@115851 @AmazonHelp @115850 IS THERE ANY HEIGHT OF BEING SHAMELESS!!!

HAVE YOU FOUNDED AMAZON INDIA TO CHEAT AND HARASS INNOCENT PEOPLE OF INDIA??

WHY HAVE YOU NOT RESPONDED AND TAKEN ACTION ON MY COMPLAINTS AGAINST CHEATING AND HARASSMENT DONE BY AMAZON INDIA??",2017-11-24T17:00:22+00:00,IS THERE ANY HEIGHT OF BEING SHAMELESS!!! HAVE YOU FOUNDED AMAZON INDIA TO CHEAT AND HARASS INNOCENT PEOPLE OF INDIA?? WHY HAVE YOU NOT RESPONDED AND TAKEN ACTION ON MY COMPLAINTS AGAINST CHEATING AND HARASSMENT DONE BY AMAZON INDIA??,1
conv_1095839,1095840,@AmazonHelp Who was helping me when we got disconnected and I have had little help from call 2 or 3 other then a larger headache and a ugh to swear,2017-10-23T21:45:59+00:00,Who was helping me when we got disconnected and I have had little help from call 2 or 3 other then a larger headache and a ugh to swear,3
conv_2898904,2898903,"@AmazonHelp So yesterday, you told me to contact you if my order hadn’t arrived today, I did so and you never replied. It seems like you’re ignoring me",2017-11-28T17:25:51+00:00,"So yesterday, you told me to contact you if my order hadn’t arrived today, I did so and you never replied. It seems like you’re ignoring me",8
conv_2703153,2703153,@AmazonHelp you've sent me a push notification every day for a week reminding me I can buy an Echo. I don't want one. Stop it.,2017-11-19T21:30:47+00:00,you've sent me a push notification every day for a week reminding me I can buy an Echo. I don't want one. Stop it.,12
conv_2405135,2405134,"@AmazonHelp Just says ""limited time"" received yesterday, tried to order this morning.",2017-11-14T15:12:51+00:00,"Just says ""limited time"" received yesterday, tried to order this morning.",18
conv_737172,737172,"@115850 @AmazonHelp i purchased a mobile phone on 28th aug under zero cost EMI offer with 12 emi, now bank is asking full payment plz look",2017-10-11T12:07:39+00:00,"i purchased a mobile phone on 28th aug under zero cost EMI offer with 12 emi, now bank is asking full payment plz look",10
conv_2349615,2349615,"@AmazonHelp @115850 @123288 @153500 Yes, I do understand you want to keep your false promises under wraps and private! Amazon, you f*#ked up again with your fake delivery assurance, didn't you?",2017-11-13T16:51:44+00:00,"Yes, I do understand you want to keep your false promises under wraps and private! Amazon, you f*#ked up again with your fake delivery assurance, didn't you?",1
conv_2360467,2360485,@AmazonHelp non ce n’est pas parfait. j’ai commandé hier pour être lové aujourd’hui et ça n’a pas été le cas. ce n’est pas parfait,2017-11-15T18:42:14+00:00,non ce n’est pas parfait. j’ai commandé hier pour être lové aujourd’hui et ça n’a pas été le cas. ce n’est pas parfait,19
conv_2298179,2298177,@AmazonHelp Just received it !! Sorry and thanks 🙈,2017-11-12T14:31:37+00:00,Just received it !! Sorry and thanks 🙈,2
conv_488659,488661,@AmazonHelp I have. That was the web form I was talking about.,2017-12-01T16:23:59+00:00,I have. That was the web form I was talking about.,10
conv_2473506,2473505,"@AmazonHelp Via chat. I've just managed to convince whoever was chatting with me to create a ticket, and that emails exist and can be used for this type of communication... Quite annoying to have to insist for half an hour with customer support to get something as simple as this done.",2017-11-15T13:06:38+00:00,"Via chat. I've just managed to convince whoever was chatting with me to create a ticket, and that emails exist and can be used for this type of communication... Quite annoying to have to insist for half an hour with customer support to get something as simple as this done.",12
conv_1380472,1380475,@AmazonHelp I am going to send you a DM. I need to send you two pictures and I can’t do that here.,2017-10-28T16:33:57+00:00,I am going to send you a DM. I need to send you two pictures and I can’t do that here.,10
conv_776115,776106,@AmazonHelp Fudging when things are actually delivered isn't smart these days. Cameras everywhere. Where is the data?,2017-10-12T03:09:28+00:00,Fudging when things are actually delivered isn't smart these days. Cameras everywhere. Where is the data?,4
conv_2950689,2950689,"@122232 @AmazonHelp What’s going on? All day I’ve been in, nothing. Now my dog has to go hungry? https://t.co/mqNJ197ffL",2017-11-29T17:14:22+00:00,"What’s going on? All day I’ve been in, nothing. Now my dog has to go hungry?",14
conv_2391249,2391249,@AmazonHelp Podrían leer privado un momento?,2017-11-14T10:08:57+00:00,Podrían leer privado un momento?,10
conv_2631454,2631454,Way to go @AmazonHelp. Thanks for delaying Ultra Sun/Moon until Wednesday. And I really appreciate you letting me know only today. Not earlier this week when you knew you weren’t gonna be able to fulfill my order. A+ job.,2017-11-17T16:51:43+00:00,Way to go . Thanks for delaying Ultra Sun/Moon until Wednesday. And I really appreciate you letting me know only today. Not earlier this week when you knew you weren’t gonna be able to fulfill my order. A+ job.,10
conv_17678,17674,"@AmazonHelp #unprofessional order id # 
403-7503264-7181114,403-8300003-6354735,403-5491238-8117144",2017-11-01T04:50:59+00:00,"#unprofessional order id # 403-7503264-7181114,403-8300003-6354735,403-5491238-8117144",18
conv_2276497,2276495,@AmazonHelp Don’t worry I have submitted delivery feedback via your app after item delivered late yesterday evening. Will see how @115830 react to my very negative feedback,2017-11-12T06:56:59+00:00,Don’t worry I have submitted delivery feedback via your app after item delivered late yesterday evening. Will see how react to my very negative feedback,17
conv_2446289,2446289,Here we go again with the monkeys at Dynamex / @137088 ... Late deliveries and crappy parcel handling.  Thanks @AmazonHelp for continuing to screw your customers with the worst courier.,2017-11-15T01:22:57+00:00,Here we go again with the monkeys at Dynamex / ... Late deliveries and crappy parcel handling. Thanks for continuing to screw your customers with the worst courier.,2
conv_1578753,1578753,@AmazonHelp is this how we have your drivers deliver packages? https://t.co/HFWcqcArYj,2017-10-28T22:01:57+00:00,is this how we have your drivers deliver packages?,10
conv_907085,907085,@AmazonHelp y'all charged me twice for my prime membership ...,2017-10-13T19:31:17+00:00,y'all charged me twice for my prime membership ...,5
conv_350784,350784,@AmazonHelp Dishonest delivery setup. Worst cust care. Order no 404-1061350-8629132 against canceled order at high price &amp; late delivery.,2017-10-08T09:54:57+00:00,Dishonest delivery setup. Worst cust care. Order no 404-1061350-8629132 against canceled order at high price &amp; late delivery.,18
conv_2948089,2948089,"@AmazonHelp Prime proving to be useless AGAIN. Order should have arrived today by 9PM, and there now “may be a delay”. Waited in all day as you said it was going to be delivered. Sort it out.",2017-11-29T16:23:57+00:00,"Prime proving to be useless AGAIN. Order should have arrived today by 9PM, and there now “may be a delay”. Waited in all day as you said it was going to be delivered. Sort it out.",4
conv_998180,998179,"@AmazonHelp Leider nein. Den Namen zieht Ihr Euch nicht, wenn ich ein Verkäufer-Feedback abgeben will.",2017-10-14T12:25:18+00:00,"Leider nein. Den Namen zieht Ihr Euch nicht, wenn ich ein Verkäufer-Feedback abgeben will.",10
conv_1456348,1456348,@AmazonHelp I’d like to know if it’s possible to get some information on a delivery.,2017-11-02T19:53:31+00:00,I’d like to know if it’s possible to get some information on a delivery.,14
conv_1187094,1187094,@AmazonHelp hello wondering where my package was? was supposed to be delivered today,2017-10-24T23:48:02+00:00,hello wondering where my package was? was supposed to be delivered today,4
conv_280148,280147,"@AmazonHelp First time I ever use Amazon &amp; it has been an upsetting experience, next to useless. I sent my details at 4pm AESST 🇦🇺more than 66 hours who",2017-10-06T22:49:07+00:00,"First time I ever use Amazon &amp; it has been an upsetting experience, next to useless. I sent my details at 4pm AESST 🇦🇺more than 66 hours who",1
conv_2299103,2299102,"@AmazonHelp none of the above are working😣 it doesnt show up no matter the browser or device, i can only see it via the link. but i want to add more",2017-11-12T15:38:59+00:00,"none of the above are working😣 it doesnt show up no matter the browser or device, i can only see it via the link. but i want to add more",10
conv_522586,522586,@AmazonHelp I received my item extremely damaged and I’m not happy who can I contact about this?!? https://t.co/EfCk1HpZcr,2017-12-02T04:14:46+00:00,I received my item extremely damaged and I’m not happy who can I contact about this?!?,10
conv_27814,27814,@AmazonHelp I am unable to find a will to live on your site it just keeps showing me books. Very dissappointing,2017-11-01T10:27:06+00:00,I am unable to find a will to live on your site it just keeps showing me books. Very dissappointing,12
conv_2236390,2236390,"@AmazonHelp I got reply from your team that I can't pay by card, only cash is available. What is the purpose of having  credit card or Amazon pay balance, if you want us to pay by cash https://t.co/Mrg2UDnz01",2017-11-10T18:00:22+00:00,"I got reply from your team that I can't pay by card, only cash is available. What is the purpose of having credit card or Amazon pay balance, if you want us to pay by cash",1
conv_321361,321361,Ah et merci @AmazonHelp aussi de m’avoir envoyé un bouquin de collection dans une enveloppe à soufflet avec un livreur de merde 🤗 https://t.co/BETKxqnArs,2017-10-07T12:49:37+00:00,Ah et merci aussi de m’avoir envoyé un bouquin de collection dans une enveloppe à soufflet avec un livreur de merde 🤗,19
conv_1223654,1223652,@AmazonHelp Where do you want me to send the info?,2017-11-16T01:31:28+00:00,Where do you want me to send the info?,12
conv_351148,351148,@AmazonHelp What is this man?? Ordered a product and sending fake product!! Not done and not expected 😡😡😠😠😠,2017-10-08T11:00:01+00:00,What is this man?? Ordered a product and sending fake product!! Not done and not expected 😡😡😠😠😠,10
conv_1230408,1230408,@AmazonHelp my sister told me i selected the wrong address when usin her acct 2 order bulbs for my riding mower but idk how it went through,2017-10-25T20:49:13+00:00,my sister told me i selected the wrong address when usin her acct 2 order bulbs for my riding mower but idk how it went through,18
conv_495826,495826,"@115830 @AmazonHelp waited in all day for my parcel to get this email. Next day delivery at its best I see. Absolutely fuming, what a waste of a day, I suppose I've got to wait in all day tomorrow now! https://t.co/mtrKuqEiG2",2017-12-01T18:08:09+00:00,"waited in all day for my parcel to get this email. Next day delivery at its best I see. Absolutely fuming, what a waste of a day, I suppose I've got to wait in all day tomorrow now!",14
conv_1232159,1232159,@AmazonHelp absolutely appalled that so far I’ve waited two days for two parcels to be delivered via #primedelivery - where are my items?!,2017-10-25T21:09:45+00:00,absolutely appalled that so far I’ve waited two days for two parcels to be delivered via #primedelivery - where are my items?!,4
conv_459051,459051,@AmazonHelp my package says it was delivered to my mail box today and it Is not there what the heck !!!!,2017-12-01T01:01:42+00:00,my package says it was delivered to my mail box today and it Is not there what the heck !!!!,4
conv_2379698,2379697,@AmazonHelp Nope still shows today.  But the mail already dropped stuff off at neighbors houses.    I already talked to one of your reps and they are taking care of me,2017-11-26T18:05:54+00:00,Nope still shows today. But the mail already dropped stuff off at neighbors houses. I already talked to one of your reps and they are taking care of me,10
conv_1566958,1566958,@AmazonHelp @115830 can you please tell me why money has been taken from my account when I haven’t ordered anything?? 😤🤔,2017-10-17T05:40:11+00:00,can you please tell me why money has been taken from my account when I haven’t ordered anything?? 😤🤔,6
conv_2841820,2841811,@AmazonHelp une idée docteur ? 🤣,2017-11-27T17:12:13+00:00,une idée docteur ? 🤣,10
conv_1424997,1424997,@AmazonHelp Even though my bank account is missing £79?! https://t.co/KLwR9vfeLv,2017-10-16T17:57:35+00:00,Even though my bank account is missing £79?!,6
conv_1328547,1328546,@AmazonHelp .@AmazonHelp Yes says it's delayed let is know if u don't get it by Sunday. Shows at my city today updated as of 2:20 am. So why Sunday?,2017-10-27T12:41:27+00:00,. Yes says it's delayed let is know if u don't get it by Sunday. Shows at my city today updated as of 2:20 am. So why Sunday?,12
conv_432881,432882,@AmazonHelp @115850 Agreed a delivery by 3-5 business days &amp; sending messages stating it will be delivered by 22nd NOV 2017 ! WTF,2017-10-10T15:41:46+00:00,Agreed a delivery by 3-5 business days &amp; sending messages stating it will be delivered by 22nd NOV 2017 ! WTF,14
conv_2401321,2401323,"@AmazonHelp What the hell is going on ! After 60 days no 250 CB by amazon  
Amazon giving false promise to their customers I already complaint this issue in consumer forum.",2017-11-28T08:53:58+00:00,What the hell is going on ! After 60 days no 250 CB by amazon Amazon giving false promise to their customers I already complaint this issue in consumer forum.,1
conv_2461261,2461259,"@AmazonHelp Ok! Das erklärt es 😆
#Danke für die schnelle Information!
Finde ich gut, dass ihr hier so #Aktiv seid!",2017-11-15T08:07:38+00:00,"Ok! Das erklärt es 😆 #Danke für die schnelle Information! Finde ich gut, dass ihr hier so #Aktiv seid!",10
conv_320385,320385,@AmazonHelp when u order something on prime on Thursday and still hasn’t arrived :/ if this is prime deffo won’t be signing up,2017-10-07T11:57:18+00:00,when u order something on prime on Thursday and still hasn’t arrived :/ if this is prime deffo won’t be signing up,5
conv_147316,147312,@AmazonHelp What’s your verdict?,2017-11-24T22:41:18+00:00,What’s your verdict?,10
conv_402581,402580,@AmazonHelp @115850  why so you charge for prime when such a thing has to be done. It would have been better to buy things from a shop rather than ☹️,2017-10-09T20:36:23+00:00,why so you charge for prime when such a thing has to be done. It would have been better to buy things from a shop rather than ☹️,5
conv_2373411,2373410,@AmazonHelp Ok I filled in the feedback; NINTENDO AMIIBO SHOULD NEVER BE SHIPPED IN A BUBBLE WRAP ENVELOPE. EVER. (And I got my money back cuz I gave you guys a call; still not going to buy amiibo from Amazon ever again until this is rectified),2017-11-14T01:21:02+00:00,Ok I filled in the feedback; NINTENDO AMIIBO SHOULD NEVER BE SHIPPED IN A BUBBLE WRAP ENVELOPE. EVER. (And I got my money back cuz I gave you guys a call; still not going to buy amiibo from Amazon ever again until this is rectified),1
conv_1554889,1554897,"@126705 @115830 @AmazonHelp The main one being because of the constant untruths being told to me about this item I ordered, by both @115830 and @126705",2017-11-05T11:49:15+00:00,"The main one being because of the constant untruths being told to me about this item I ordered, by both and",10
conv_650058,650056,"@AmazonHelp Oh right, you can't do that. I would hurt @115851 wallet after all. @115821 good on you.",2017-11-25T07:23:29+00:00,"Oh right, you can't do that. I would hurt wallet after all. good on you.",10
conv_2776353,2776353,@115850 @AmazonHelp just rec'd my package.,2017-11-21T09:05:00+00:00,just rec'd my package.,12
conv_1230259,1230254,"@AmazonHelp @408540 J’ai également le même problème, ma livraison a été décalé au 9 novembre alors que je suis membre Prime.",2017-10-25T20:52:05+00:00,"J’ai également le même problème, ma livraison a été décalé au 9 novembre alors que je suis membre Prime.",19
conv_1536959,1536956,@AmazonHelp The carrier is Amazon!,2017-11-03T22:37:57+00:00,The carrier is Amazon!,1
conv_1774361,1774361,"@12339 Fooling @115850 and defaming the name of @115821. Why in the earth would I request ""Delay Delivery in customer's request""? @AmazonHelp  How did this happen without even contacting me? https://t.co/fjlix1w41y",2017-11-08T03:44:08+00:00,"Fooling and defaming the name of . Why in the earth would I request ""Delay Delivery in customer's request""? How did this happen without even contacting me?",8
conv_483866,483865,"@AmazonHelp Sorry, I'm in Canada. I have checked the tracking (both on Amazon.ca and the company) and there has been no update since Monday evening when it arrived at the warehouse. Called courier and left message for callback, as well as emailed and no response.",2017-12-01T15:07:52+00:00,"Sorry, I'm in Canada. I have checked the tracking (both on Amazon.ca and the company) and there has been no update since Monday evening when it arrived at the warehouse. Called courier and left message for callback, as well as emailed and no response.",0
conv_180511,181081,"@AmazonHelp How is this not a simple fix? I preordered before beta keys existed, so just update the account so I can get the @116089 key",2017-10-04T12:24:20+00:00,"How is this not a simple fix? I preordered before beta keys existed, so just update the account so I can get the key",0
conv_1078147,1078147,"@AmazonHelp Please I need help, I do not know where I have my product.",2017-10-23T16:58:24+00:00,"Please I need help, I do not know where I have my product.",3
conv_1565916,1745575,"@AmazonHelp @115851 The Ref. ID shared by you is Invalid. What is this? Why dont you people refund my money?

Counting Months. Bad Customer Experience.",2017-11-18T06:55:27+00:00,The Ref. ID shared by you is Invalid. What is this? Why dont you people refund my money? Counting Months. Bad Customer Experience.,12
conv_742412,742412,"So both @AmazonHelp and @123967 refuse to help. I just want a refund, don’t even deliver my package anymore",2017-10-11T15:21:19+00:00,"So both and refuse to help. I just want a refund, don’t even deliver my package anymore",12
conv_1123303,1123303,@115850 @AmazonHelp @1840 @12934 @115851  Say Hi to the looting CRM of AMAZON India..  Kudos..  Three cheers to the looters https://t.co/A8oFwQQt52,2017-10-24T07:21:02+00:00,Say Hi to the looting CRM of AMAZON India.. Kudos.. Three cheers to the looters,1
conv_486769,486769,"@AmazonHelp os dejado una consulta en MD, cuando podais por favor echadle un ojo, gracias por todo :)",2017-12-01T15:31:19+00:00,"os dejado una consulta en MD, cuando podais por favor echadle un ojo, gracias por todo :)",7
conv_1529889,1529889,@AmazonHelp this is the 2ND time 1 of your employees walked into my house without knocking! We have a camera we know who they are.,2017-11-03T20:03:09+00:00,this is the 2ND time 1 of your employees walked into my house without knocking! We have a camera we know who they are.,12
conv_2680337,2680337,Your packaging is a bloody joke! How the hell can customers trust @AmazonHelp @115830 when you send goods in this state? Shoddy &amp; shabby! https://t.co/3z5Bn0UBBI,2017-10-31T15:12:00+00:00,Your packaging is a bloody joke! How the hell can customers trust when you send goods in this state? Shoddy &amp; shabby!,10
conv_740387,740386,"@AmazonHelp Oui mais pour ça je dois me connecter or vous avez supprimé mon mot de passe car quelqu'un a essayé de se connecter sur mon compte, merci",2017-10-11T13:46:31+00:00,"Oui mais pour ça je dois me connecter or vous avez supprimé mon mot de passe car quelqu'un a essayé de se connecter sur mon compte, merci",19
conv_2452817,2452823,@AmazonHelp Then you should remove these Join Now options (in below images) from Amazon Prime app so no one will get confuse.. https://t.co/z6joqBOxOs,2017-10-30T05:10:16+00:00,Then you should remove these Join Now options (in below images) from Amazon Prime app so no one will get confuse..,9
conv_820642,820642,Can @AmazonHelp advise me on what a £7.99 charge on my account will be for?,2017-10-12T22:18:37+00:00,Can advise me on what a £7.99 charge on my account will be for?,6
conv_1884168,1884168,"@AmazonHelp 
突然すみません。今Amazonの方から私のガラケーに不審なEメールが届いたのですがどうすればいいでしょうか…。アマゾンは今まで1度も利用したことはありません。 https://t.co/o6mX4Na3B7",2017-10-23T05:46:27+00:00,突然すみません。今Amazonの方から私のガラケーに不審なEメールが届いたのですがどうすればいいでしょうか…。アマゾンは今まで1度も利用したことはありません。,10
conv_2303057,2303057,@AmazonHelp hi i need help with recharging a yearly prime sub and i accidently bought it when i was gonna buy this free month subscription and i really need help,2017-11-12T18:56:04+00:00,hi i need help with recharging a yearly prime sub and i accidently bought it when i was gonna buy this free month subscription and i really need help,3
conv_2777474,2777473,@AmazonHelp Thank you for the response. I will look into it :'),2017-11-21T15:55:44+00:00,Thank you for the response. I will look into it :'),15
conv_1310923,1310922,@AmazonHelp Ok I want only delivery of my shipment.. same time I ordered  3 shipment 2 delivered by blue dart .. only one shipment not dlvr by this cou,2017-10-27T05:47:09+00:00,Ok I want only delivery of my shipment.. same time I ordered 3 shipment 2 delivered by blue dart .. only one shipment not dlvr by this cou,4
conv_231503,231503,"aber schon mal blöd: @115948 auf @118117 lässt sich nicht via #Alexa ansprechen, oder @137949 @AmazonHelp 🙄?",2017-10-05T10:34:57+00:00,"aber schon mal blöd: auf lässt sich nicht via #Alexa ansprechen, oder 🙄?",10
conv_2550278,2550278,"Schafft ihr das heute noch meine Ware zu verschicken, Freunde, weil so langsam wird's öde @116316 @AmazonHelp",2017-10-30T14:43:23+00:00,"Schafft ihr das heute noch meine Ware zu verschicken, Freunde, weil so langsam wird's öde",10
conv_2492191,2492191,"@AmazonHelp bonsoir, je conteste la preuve de livraison de la commande Amazon 406-8688705-9705954 livrée hier par @132988. Je n'ai pas reçu le colis hier &amp; la preuve de livraison n'est pas ma signature. Merci. https://t.co/NZnIBSoNFA",2017-11-15T17:53:58+00:00,"bonsoir, je conteste la preuve de livraison de la commande Amazon 406-8688705-9705954 livrée hier par . Je n'ai pas reçu le colis hier &amp; la preuve de livraison n'est pas ma signature. Merci.",19
conv_91296,91295,"@AmazonHelp Thanks. So, in summary, your tracking system is not to be relied upon for accuracy?",2017-11-30T15:25:50+00:00,"Thanks. So, in summary, your tracking system is not to be relied upon for accuracy?",2
conv_910258,910258,@AmazonHelp I preordered an Xbox One X Project Scorpio edition. Will it deliver on the 11/7 release date or later?,2017-10-13T19:41:54+00:00,I preordered an Xbox One X Project Scorpio edition. Will it deliver on the 11/7 release date or later?,10
conv_231716,231716,"@AmazonHelp hi guys, delivery given to neighbour despite notes on the order for where to leave packages. Neighbour not in and this is a present. Help please :(",2017-10-05T10:37:53+00:00,"hi guys, delivery given to neighbour despite notes on the order for where to leave packages. Neighbour not in and this is a present. Help please :(",3
conv_2791994,2791994,"@AmazonHelp @115830 I can't afford to phone you at 3 quid odd, do lets make things simple .. https://t.co/e1npnmLAJC",2017-11-21T19:51:28+00:00,"I can't afford to phone you at 3 quid odd, do lets make things simple ..",10
conv_1117993,1117993,@115851 @AmazonHelp @115821 Jeff can u please interrupt these guys are not capable of delivering my order even after delay.,2017-10-15T12:21:56+00:00,Jeff can u please interrupt these guys are not capable of delivering my order even after delay.,18
conv_240558,240567,@AmazonHelp Highly dissatisfied and disappointed with @115821 @115850 @AmazonHelp #amazonsucks,2017-10-15T16:07:45+00:00,Highly dissatisfied and disappointed with #amazonsucks,10
conv_1056796,1056792,@AmazonHelp Will check now thanks,2017-10-23T12:01:38+00:00,Will check now thanks,2
conv_1708594,1708589,@AmazonHelp I'll Email. Thank you for your efforts. Have a nice day!,2017-11-07T00:53:44+00:00,I'll Email. Thank you for your efforts. Have a nice day!,15
conv_2240619,2240613,"@AmazonHelp Well.. nothing. No one is really going out of their way to help, it's just saying it'll probably be with you in 48hrs. Why do I even have prime? Company of this size hasn't helped which is disappointing. If it's in stock, which it is, it should be simple enough to send.",2017-11-10T16:04:14+00:00,"Well.. nothing. No one is really going out of their way to help, it's just saying it'll probably be with you in 48hrs. Why do I even have prime? Company of this size hasn't helped which is disappointing. If it's in stock, which it is, it should be simple enough to send.",12
conv_1345569,1345569,@AmazonHelp I've been waiting for this game for literally a year and now my copy is delayed. I'm really disappointed. https://t.co/7jsHwI9ENl,2017-10-27T16:52:33+00:00,I've been waiting for this game for literally a year and now my copy is delayed. I'm really disappointed.,10
conv_1760381,1760381,"@AmazonHelp I need to speak to a human about an order that keeps getting messed up, could I get a service link please?",2017-11-07T23:32:51+00:00,"I need to speak to a human about an order that keeps getting messed up, could I get a service link please?",18
conv_1423079,1430091,"@AmazonHelp Hi, how long does is it usually take for someone to call you?",2017-11-09T14:40:21+00:00,"Hi, how long does is it usually take for someone to call you?",10
conv_279715,279715,@AmazonHelp Do we get 10% cashback on using CITI bank cards for buying Amazon Echo device that is up for pre-sale today on the amazon site?,2017-10-06T07:40:29+00:00,Do we get 10% cashback on using CITI bank cards for buying Amazon Echo device that is up for pre-sale today on the amazon site?,1
