conversation_id,cluster_id,message_count,predicted_intent,prediction_method,first_customer_message,transcript,corrected_intent,entities,resolution,notes,annotator_id
conv_2893105,16,5,delivery_issue,keyword,@AmazonHelp Just found an email saying that an attempt has been made to deliver a parcel. I’ve been in all day. No one has been to the door. #useless,"[2017-11-28T15:21:26] CUSTOMER: @AmazonHelp Just found an email saying that an attempt has been made to deliver a parcel. I’ve been in all day. No one has been to the door. #useless
[2017-11-28T15:29:33] SUPPORT: @248985 Oh no! Please reach out to us here: https://t.co/JzP7hlA23B and we'll investigate further! ^JO
[2017-11-28T15:36:52] CUSTOMER: @AmazonHelp Sent. Thank you.
[2017-11-28T15:41:28] SUPPORT: @248985 I'm glad to see we could point you in the right direction! Please let us know how yo",delivery_issue,,unclear,,
conv_141988,6,18,account_access,keyword,"@AmazonHelp Hi. I did my first order, but now I can't log in to my account.  Errror - ""There was a problem Your password is incorrect"" But my pswd is correct","[2017-11-24T11:54:40] CUSTOMER: @AmazonHelp Hi. I did my first order, but now I can't log in to my account.  Errror - ""There was a problem Your password is incorrect"" But my pswd is correct
[2017-11-24T12:10:45] CUSTOMER: @AmazonHelp HELP ME
[2017-11-24T12:14:27] SUPPORT: @148042 Did you receive any emails about your account been locked out? ^KM
[2017-11-24T12:17:39] CUSTOMER: @AmazonHelp No. That is the problem. The last I received is about my order. I tried reset my password couple times, but ",account_access,,unclear,,
conv_111878,0,5,delivery_issue,keyword,"Hi @AmazonHelp how can you get my package “back on track” when it’s already missed it’s next day target, and I’m looking at up to Tuesday? https://t.co/NYiFD4ai4h","[2017-11-23T20:23:43] CUSTOMER: Hi @AmazonHelp how can you get my package “back on track” when it’s already missed it’s next day target, and I’m looking at up to Tuesday? https://t.co/NYiFD4ai4h
[2017-11-23T20:24:55] CUSTOMER: @AmazonHelp ... also, where’s the explanation? Tracker has the last update as “out for delivery” at 9.30
This morning.
[2017-11-23T20:32:00] SUPPORT: @140843 I'm sorry your order has been delayed. While delays are rare, they can occur. If you have received your order by 21",delivery_issue,,unclear,,
conv_2241070,3,4,delivery_issue,keyword,"@AmazonHelp my parcel says it’s been delivered to the address I selected, yet it hasn’t? HELP","[2017-10-19T17:09:07] CUSTOMER: @AmazonHelp my parcel says it’s been delivered to the address I selected, yet it hasn’t? HELP
[2017-10-19T17:12:01] SUPPORT: @368696 Oh no! Have you tried the steps listed here: https://t.co/BP6yYfmNKx Please let us know if that helps! ^LB
[2017-10-19T17:13:50] CUSTOMER: @AmazonHelp They don’t help. There’s no card or anywhere else it could have been delivered.
[2017-10-19T17:19:29] SUPPORT: @368696 I'm sorry about this issue! We'd like to help further. When you c",delivery_issue,,unclear,,
conv_1572206,7,10,non_english,keyword,@AmazonHelp quiero quitar la subscripción de Kindle,"[2017-11-04T13:55:00] CUSTOMER: @AmazonHelp quiero quitar la subscripción de Kindle
[2017-11-04T13:57:00] SUPPORT: @484671 Hola Juan, puedes gestionar tu suscripción de Kindle Unlimited en este enlace: https://t.co/Kjpz9Dyda0. ^LG
[2017-11-04T13:59:52] CUSTOMER: @AmazonHelp No me pone nada de eso
[2017-11-04T14:02:26] SUPPORT: @484671 ¿Qué te indica en el sitio web, Juan? ¿La membresía que deseas cancelar es Kindle Unlimited o Prime? ^LG
[2017-11-04T14:04:21] CUSTOMER: @AmazonHelp Esto es lo que",non_english,{'product': 'Kindle'},unclear,,
conv_1147865,7,5,non_english,keyword,@AmazonHelp hay alguna manera de hacer que NUNCA me entreguen los paquetes la gente de ASM?? Gracias,"[2017-10-24T14:07:45] CUSTOMER: @AmazonHelp hay alguna manera de hacer que NUNCA me entreguen los paquetes la gente de ASM?? Gracias
[2017-10-24T14:16:31] SUPPORT: @390140 Hola, ¿qué ha sucedido? ¿Se ha presentado alguna situación o inconveniente con un pedido pendiente de entrega? ^KS
[2017-10-24T14:19:46] CUSTOMER: @AmazonHelp Tienen mejor horario que cualquier trabajo! Ponen problemas a entregar por la tarde (a las 6), la oficina cierra a las 7 y no llego,siempre=
[2017-10-24T14:22:01] SUPPOR",non_english,,unclear,,
conv_869844,14,6,delivery_issue,keyword,Hey @AmazonHelp is it normal for a Prime delivery to take 4 days and counting? Its been out for delivery all this week.,"[2017-10-20T16:19:45] CUSTOMER: Hey @AmazonHelp is it normal for a Prime delivery to take 4 days and counting? Its been out for delivery all this week.
[2017-10-20T16:28:37] SUPPORT: @326539 To clarify, have we missed the delivery date provided in checkout/e-mail: https://t.co/7VrGbfmCop Let us know! ^KN
[2017-10-21T19:21:02] CUSTOMER: @AmazonHelp Hi I have asked for item to be returned as I doubt it will ever be delivered to the Amazon locker, how long does this normally take?
[2017-10-21T19:23",delivery_issue,{'product': 'Prime'},unclear,,
conv_2403896,11,7,delivery_issue,keyword,"Hey @AmazonHelp! I need to file a claim on a package. It never showed up, but says delivered. Please and thank you for the assistance!","[2017-11-14T14:27:08] CUSTOMER: Hey @AmazonHelp! I need to file a claim on a package. It never showed up, but says delivered. Please and thank you for the assistance!
[2017-11-14T14:37:32] SUPPORT: @691498 Hello, we can certainly help with this. Was the package you were expecting sold directly by us or a third party seller ? ^CR
[2017-11-14T14:49:09] CUSTOMER: @AmazonHelp I believe it was sold by a third party: BarketShop.
[2017-11-14T14:55:33] SUPPORT: @691498 Have you tried contacting the sell",delivery_issue,,unclear,,
conv_1362515,9,3,prime_subscription,cluster_hint,Where's my Super Mario Odyssey @AmazonHelp? I preordered the day it was available and I receive an email it's delayed? Why?,"[2017-10-27T20:24:25] CUSTOMER: Where's my Super Mario Odyssey @AmazonHelp? I preordered the day it was available and I receive an email it's delayed? Why?
[2017-10-27T20:32:26] SUPPORT: @437246 Hey, Luca! Sometimes unforeseen circumstances can cause delivery delays. Please keep us updated on your delivery. ^LA
[2017-10-27T20:38:04] CUSTOMER: @AmazonHelp I don't find that reassuring and has me reevaluating my need for an Amazon Prime account.",prime_subscription,{'product': 'Prime'},unclear,,
conv_936711,16,3,account_access,cluster_hint,"@AmazonHelp my husband received two parcels this week he didn’t order, he doesn’t even have an account, is this a scam????","[2017-10-21T17:56:37] CUSTOMER: @AmazonHelp my husband received two parcels this week he didn’t order, he doesn’t even have an account, is this a scam????
[2017-10-21T18:06:01] SUPPORT: @342055 I'm sorry for the unexpected parcels! We can look further into this with you here: https://t.co/zYVX1Qi29G ^WJ
[2017-10-21T18:23:09] CUSTOMER: @amazonhelp thanks for the quick response, I’ve sent an email",account_access,,unclear,,
conv_1554400,16,14,delivery_issue,keyword,Beware of buying any product from @115850 @AmazonHelp specially card payments. Product status #Delivered from tuesday but not yet deliver. https://t.co/gTYl52iKus,"[2017-11-04T11:25:48] CUSTOMER: Beware of buying any product from @115850 @AmazonHelp specially card payments. Product status #Delivered from tuesday but not yet deliver. https://t.co/gTYl52iKus
[2017-11-04T11:32:00] SUPPORT: @480793 I'm sorry for the inaccurate tracking update, have you reported this to our support team 1/2 ^MJ
[2017-11-04T11:32:30] SUPPORT: @480793 here: https://t.co/vlvfJr4nN9? We'll take necessary actions to make things right. 2/2 ^MJ
[2017-11-04T11:35:27] CUSTOMER: @AmazonH",delivery_issue,,unclear,,
conv_1741008,5,10,delivery_issue,keyword,@AmazonHelp my Prime package still hasn't arrived for the second day in a row now. Unfair considering I paid for a next day service?,"[2017-11-07T17:11:02] CUSTOMER: @AmazonHelp my Prime package still hasn't arrived for the second day in a row now. Unfair considering I paid for a next day service?
[2017-11-07T17:12:19] CUSTOMER: @AmazonHelp And you can't blame the carrier because the carrier is AMAZON SHIPPING
[2017-11-07T17:13:31] SUPPORT: @525269 So sorry to hear this! What is the current status of your parcel? You can check here: https://t.co/aaDyEz1VgE ^MW
[2017-11-07T17:14:21] CUSTOMER: @AmazonHelp  https://t.co/zK0nlwXjF",delivery_issue,{'product': 'Prime'},unclear,,
conv_2676601,9,11,delivery_issue,keyword,Why do I pay for @14389  when the stuff doesn't arrive in the 2 day window. I could have gone to @Walmart and bought it @AmazonHelp,"[2017-11-19T05:22:53] CUSTOMER: Why do I pay for @14389  when the stuff doesn't arrive in the 2 day window. I could have gone to @Walmart and bought it @AmazonHelp
[2017-11-19T05:58:00] SUPPORT: @150279 I'm sorry for the frustration, Jon! Did we miss the confirmed delivery date? You can find out here: https://t.co/Y5jpI9gRhE ^JP
[2017-11-19T12:55:09] CUSTOMER: @AmazonHelp Yeppers :( my first prime order this year lol. Bought it Thursday it's Sunday and it says it's late. Really wanted to watch i",delivery_issue,"{'order_id': '111-9285288-3883429', 'product': 'Prime'}",unclear,,
conv_757120,18,5,refund_return,keyword,Duping customers with Exchange scheme. Never dlvrd my order and now initiated the refund. asking to re-order in 5k more @115821 @AmazonHelp,"[2017-10-11T18:32:24] CUSTOMER: Duping customers with Exchange scheme. Never dlvrd my order and now initiated the refund. asking to re-order in 5k more @115821 @AmazonHelp
[2017-10-11T18:53:26] SUPPORT: @300935 I'm sorry to hear this. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^VN
[2017-10-12T09:45:17] CUSTOMER: @AmazonHelp Yes i did and they said that they said they are providing me with Replacement and i will get the order in 4 days and app showed the sa",refund_return,,unclear,,
conv_2276497,17,7,delivery_issue,keyword,@115830 @AmazonHelp I am a Prime member yet I am still waiting for my goods ordered on Thursday!!! So much for next day delivery - anyone else had the same problem? 👎🏽👎🏽👎🏽👎🏽,"[2017-11-11T17:23:42] CUSTOMER: @115830 @AmazonHelp I am a Prime member yet I am still waiting for my goods ordered on Thursday!!! So much for next day delivery - anyone else had the same problem? 👎🏽👎🏽👎🏽👎🏽
[2017-11-11T17:35:03] SUPPORT: @662096 I'm sorry your order still hasn't arrived! Has the delivery date changed from when you placed the order? ^VS
[2017-11-11T17:36:05] CUSTOMER: @AmazonHelp Yes it changed to today but it’s not making any difference is it?
[2017-11-11T17:38:50] SUPPORT: @6620",delivery_issue,{'product': 'Prime'},unclear,,
conv_180940,15,6,billing_payment,keyword,@AmazonHelp I've preordered the new star wars battlefront 2 on ps4 but haven't received my beta code yet,"[2017-10-04T11:48:14] CUSTOMER: @AmazonHelp I've preordered the new star wars battlefront 2 on ps4 but haven't received my beta code yet
[2017-10-04T12:06:54] SUPPORT: @158502 Sorry to hear. When did you pre-order the game? ^MC
[2017-10-04T12:07:27] CUSTOMER: @AmazonHelp I preorder it earlier today, how long does the beta code normally take to come through?
[2017-10-04T12:43:14] SUPPORT: @158502 You should receive it within 24 hours of placing your order. ^KH
[2017-10-04T12:43:53] CUSTOMER: @Ama",billing_payment,,unclear,,
conv_2252986,7,2,non_english,keyword,¿Aunque lo haya pedido en preventa lo van a empezar a enviar hasta el 14? @AmazonHelp @116875 https://t.co/lXo9Tt5Ihh,"[2017-11-10T20:21:57] CUSTOMER: ¿Aunque lo haya pedido en preventa lo van a empezar a enviar hasta el 14? @AmazonHelp @116875 https://t.co/lXo9Tt5Ihh
[2017-11-10T20:32:52] SUPPORT: @188213 ¡Hola, Aria! En este caso has reservado este producto con tu compra y en cuanto tengamos una fecha estimada de entrega para ti, te enviaremos un correo electrónico confirmándote toda la información. ¡Saludos! ^ES",non_english,,unclear,,
conv_2822350,3,4,billing_payment,keyword,@AmazonHelp i ordered something with a gift card and it was enough and a few hours later i just got this saying payment declined &amp; i have to pay 41¢ which is fine but it won’t let me put my card i,"[2017-11-27T07:44:53] CUSTOMER: @AmazonHelp i ordered something with a gift card and it was enough and a few hours later i just got this saying payment declined &amp; i have to pay 41¢ which is fine but it won’t let me put my card information since the giftcard is there. Help? https://t.co/qSrDCO3VG8
[2017-11-27T07:56:00] SUPPORT: @711850 Hello, if you have an active debit/credit card on your account you should be able to manage the payment method. Take a look at this link:https://t.co/jzwN9XHIL",billing_payment,,unclear,,
conv_1972809,5,5,prime_subscription,keyword,@AmazonHelp hi is Amazon Prime not next day anymore?,"[2017-11-26T10:21:00] CUSTOMER: @AmazonHelp hi is Amazon Prime not next day anymore?
[2017-11-26T10:25:52] SUPPORT: @386456 Hi Sam, yes Prime still offers One day delivery. Since we are in a busy period some orders might have extended delivery window: https://t.co/r9VnM1jVnU. Is there any outstanding order you are having issues with?^MA
[2017-11-26T10:27:05] CUSTOMER: @AmazonHelp No but I just ordered a book and it won't be here til Wednesday, and a lot of other things are saying Tuesday or Wedn",prime_subscription,{'product': 'Prime'},unclear,,
conv_1384821,9,4,delivery_issue,keyword,@AmazonHelp my card got lost and cancelled. Is Amazon prime gonna be mad at me now? What do I do in other words!,"[2017-10-28T08:50:25] CUSTOMER: @AmazonHelp my card got lost and cancelled. Is Amazon prime gonna be mad at me now? What do I do in other words!
[2017-10-28T08:53:30] SUPPORT: @442248 Hey- Sorry to hear about your card. Have you added a new one to your account? ^NV
[2017-10-28T09:27:26] CUSTOMER: @AmazonHelp Not yet, where do I go to do that?
[2017-10-28T09:56:25] SUPPORT: @442248 Hey, you can update your payment method here - https://t.co/Gvc6neSSKt ^TP",delivery_issue,{'product': 'Prime'},unclear,,
conv_284823,6,2,billing_payment,keyword,"@AmazonHelp I've had 10.99 taken from my bank on 5th October, when I haven't placed an order since 22nd Jan, nor do I have a prime account?","[2017-10-06T13:17:43] CUSTOMER: @AmazonHelp I've had 10.99 taken from my bank on 5th October, when I haven't placed an order since 22nd Jan, nor do I have a prime account?
[2017-10-06T13:52:31] SUPPORT: @183850 Uh-oh, we're more than happy to help! Read more on unknown charges here:https://t.co/tdvlYOCn2o Let us know how it goes! ^SA",billing_payment,{'product': 'Prime'},unclear,,
conv_339915,3,5,delivery_issue,keyword,"@AmazonHelp hey, i tried to do my own haircut today. For unrelated reasons (:p) I'm looking for beanie delivery ASAP. Any help on my order ?","[2017-10-07T23:47:04] CUSTOMER: @AmazonHelp hey, i tried to do my own haircut today. For unrelated reasons (:p) I'm looking for beanie delivery ASAP. Any help on my order ?
[2017-10-08T00:04:00] SUPPORT: @197174 Uh oh! At least fall is the perfect time to wear a beanie! What does tracking show here: https://t.co/YwHj5wsWUl? ^MB
[2017-10-08T00:07:40] CUSTOMER: @AmazonHelp It says arriving Monday. But it would be really awesome that I get it by Sunday, so that I only have 1 embarrassing ride to co",delivery_issue,{'product': 'Prime'},unclear,,
conv_842114,17,8,non_english,keyword,"@AmazonHelp I'm using apple IOS 11 in that Amazon app is nt rotating (🔄) orientation , i have checked with apple no issue frm they side 🙏","[2017-10-20T13:12:29] CUSTOMER: @AmazonHelp I'm using apple IOS 11 in that Amazon app is nt rotating (🔄) orientation , i have checked with apple no issue frm they side 🙏
[2017-10-20T13:28:31] SUPPORT: @126369 Have you tried restarting the device? ^HA
[2017-10-20T13:32:07] CUSTOMER: @AmazonHelp Yes did every thing no use. Till yesterday was working fine. Pls do nedd full &amp; update me the status 🙏
[2017-10-20T13:58:26] SUPPORT: @126369 Dinesh, please delete the cookies and try uninstalling and ",non_english,,unclear,,
conv_2843720,15,4,delivery_issue,keyword,@AmazonHelp is there a specific carrier who will be delivering my parcel from Amazon? I used the One-day prime delivery service,"[2017-11-27T17:22:37] CUSTOMER: @AmazonHelp is there a specific carrier who will be delivering my parcel from Amazon? I used the One-day prime delivery service
[2017-11-27T17:33:30] SUPPORT: @791114 Once the parcel is shipped you can find the carrier here: https://t.co/aaDyEz1VgE ^AD
[2017-11-27T17:34:32] CUSTOMER: @AmazonHelp Thank you, I have already used that but was hoping to know which carrier was delivering it.
[2017-11-27T17:52:00] SUPPORT: @791114 Unfortunately, there's no way of knowing",delivery_issue,{'product': 'Prime'},unclear,,
conv_1548337,11,10,billing_payment,keyword,Wayfaring by Tikuli https://t.co/Z1vnpFMkTu via @115850 @AmazonHelp This is the link to the book. Just as info. The browsing categories are now removed. The other book is listed wrongly. I have follow,"[2017-11-26T03:01:23] CUSTOMER: Wayfaring by Tikuli https://t.co/Z1vnpFMkTu via @115850 @AmazonHelp This is the link to the book. Just as info. The browsing categories are now removed. The other book is listed wrongly. I have followed all instructions. Can't they just be put rightly? #fail
[2017-11-26T03:12:01] SUPPORT: @152508 I understand your concern regarding the browsing categories. Please reply to the correspondence with your concern and we will look into it. ^AH
[2017-11-26T03:13:27] CUST",billing_payment,,unclear,,
conv_2083434,3,7,technical_app,keyword,"@116935 @AmazonHelp Can either of you help with this? Just says ""Something went wrong. There are no items to display"" All other apps work, i.e. Amazon Video etc.","[2017-11-08T09:11:25] CUSTOMER: @116935 @AmazonHelp Can either of you help with this? Just says ""Something went wrong. There are no items to display"" All other apps work, i.e. Amazon Video etc.
[2017-11-08T09:32:26] SUPPORT: @616174 Hey Chris, have you tried clearing cookies and cache on the app? ^RS
[2017-11-08T09:33:02] CUSTOMER: @AmazonHelp Yeah, I did a factory reset yesterday as well. :(
[2017-11-08T09:38:37] CUSTOMER: @AmazonHelp Weird, it's literally just started working again, haven't do",technical_app,,unclear,,
conv_197728,17,3,non_english,keyword,@AmazonHelp trying to log in on the app &amp; on the normal website and keep getting this and a random email address keeps coming up on the app? https://t.co/IaCLLx9bJf,"[2017-10-04T14:05:45] CUSTOMER: @AmazonHelp trying to log in on the app &amp; on the normal website and keep getting this and a random email address keeps coming up on the app? https://t.co/IaCLLx9bJf
[2017-10-04T14:20:00] SUPPORT: @162504 Have you received an e-mail about any changes made to your account? ^TR
[2017-10-04T14:20:44] CUSTOMER: @AmazonHelp No I haven’t x",non_english,,unclear,,
conv_1378152,12,9,delivery_issue,keyword,@AmazonHelp Amazon did'nt deliver product (4-2197264-7157136) in 50 days. After waiting 4 so long I didn't get product delivered but refund,"[2017-10-28T03:34:14] CUSTOMER: @AmazonHelp Amazon did'nt deliver product (4-2197264-7157136) in 50 days. After waiting 4 so long I didn't get product delivered but refund
[2017-10-28T03:38:00] SUPPORT: @440824 I'm sorry about the delay. Have you reported this to our team here: https://t.co/vlvfJr4nN9 ? (1/2) ^GK
[2017-10-28T03:38:30] SUPPORT: @440824 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK
[2017-10-28T04:10:1",delivery_issue,,unclear,,
conv_1263914,6,4,billing_payment,keyword,@AmazonHelp there are four payments on my bank account for amazon since July that I don’t know what they are for. Please help!,"[2017-10-26T11:43:46] CUSTOMER: @AmazonHelp there are four payments on my bank account for amazon since July that I don’t know what they are for. Please help!
[2017-10-26T11:58:00] SUPPORT: @121296 Do you know the amounts that you are being charged?^CD
[2017-10-26T13:24:46] CUSTOMER: @AmazonHelp £7.99 each time
[2017-10-26T13:35:29] SUPPORT: @121296 Oh no! We'd love to help get this sorted! Reach us here via phone and we'll look at this together: https://t.co/JzP7hlA23B ^KN",billing_payment,,unclear,,
conv_516592,15,11,non_english,keyword,8:12pm EST and STILL no Package😐😑 @AmazonHelp,"[2017-12-02T01:13:26] CUSTOMER: 8:12pm EST and STILL no Package😐😑 @AmazonHelp
[2017-12-02T01:16:55] SUPPORT: @237846 Oh no! I hate to hear that. Who was the carrier for this order? That information is here: https://t.co/Y5jpI9gRhE ^BL
[2017-12-02T01:18:50] CUSTOMER: @AmazonHelp UPS is the Carrier.
[2017-12-02T01:26:02] SUPPORT: @237846 Thank you for letting us know. Does the latest tracking on their website give any insight to the delay, or clarify a new delivery date? ^MV
[2017-12-02T01:29:02] ",non_english,,unclear,,
conv_504986,8,6,delivery_issue,keyword,"Okay another update, @115821 emailed me to tell me they replaced one item out of the four items in my package(the free one) even though the whole package wasn’t received. @AmazonHelp","[2017-12-01T20:35:41] CUSTOMER: Okay another update, @115821 emailed me to tell me they replaced one item out of the four items in my package(the free one) even though the whole package wasn’t received. @AmazonHelp
[2017-12-01T20:43:26] SUPPORT: @235057 I'm so sorry for this poor experience. This isn't what we intend to happen with your orders! Have you received any other e-mails referencing a refund or replacement for the remainder of your items that are missing? We're here to help! ^HS
[2017-1",delivery_issue,,unclear,,
