conversation_id,text,intent,label_source,resolved_candidate,resolution_score
conv_905926,"@AmazonHelp hey, I ordered a https://t.co/jDmsfDzrvO gift card and it is pending for verifications for over 24 hours. what's going on?",billing_payment,rule_single,True,1
conv_641860,@AmazonHelp amazon has very worst customer support.. also we wont get connected asap.. they making us wait for very long time/disconnecting.. i have made a payment and now the product is cancelled..BS response from agents,billing_payment,rule_single,True,1
conv_142776,@AmazonHelp also different price on the app,non_english,rule_single,True,0
conv_2386664,"@AmazonHelp I have a complaint/question about an order I received yesterday, can I send you a short video?",escalation_needed,rule_single,True,0
conv_422755,.@115850 @AmazonHelp I've made payment through credit card for my order but have not received any message regarding the payment from bank,delivery_issue,rule_multi,True,3
conv_1217439,What the hell is wrong with amazon when i m telling them that my bank denies filing charge dispute with the reference number @AmazonHelp,billing_payment,rule_single,True,3
conv_426993,"@AmazonHelp Bonjour. Pourriez-vous me rembourser les 50 € que vous m'avez prélevé sans me demander, alors que j'ai demandé d'arrêter Prime ?",non_english,rule_multi,True,0
conv_182881,@AmazonHelp I’ve gotten 38 security emails today. I reported on web chat and changed my password but I’m still receiving them. Please help https://t.co/V1bPGP7sv9,account_access,rule_single,True,1
conv_1932448,"@AmazonHelp If I sell a Kindle to a friend that I turned off spc offers, will they stay off if I disconnect from my acct and remove books?",technical_device,rule_single,True,0
conv_1458907,@AmazonHelp with the new echo look i try to compare photos but constantly get this warning https://t.co/JfphE7cl7G,technical_device,rule_single,True,0
conv_2969478,Thanks @AmazonHelp   did it https://t.co/wcS8b4wNkM,resolution_confirmation,rule_single,True,1
conv_1484643,"@AmazonHelp I am enable to connect to my account and each time I try to reset my password, I'm not receiving any emails from you. Please help! I worry someone changed my password. Thx",account_access,rule_single,True,1
conv_1875644,@AmazonHelp pourrions nous parler en privé ? au sujet d'une commande ?,non_english,rule_single,True,1
conv_2290664,"@1404 @AmazonHelp @115850 AMAZON SELLS FAKE PRODUCTS, SO I APPEAL TO ONE &amp;  ALL TO AVOID BUYING ANYTHING FROM AMAZON. PAY FEW MORE RUPEES TO SOME OTHER SELLERS THAN BUYING FAKE PRODUCTS FROM AMAZON.",billing_payment,rule_single,True,0
conv_1735216,"@AmazonHelp you blocked me out of my amazon account and then charged me for a year of prime, even though I had no way to cancel my trial.",prime_subscription,rule_single,True,8
conv_2320504,@AmazonHelp I bought my new MacBook on the last week. I am Prime. You guys just said it will be here on the last week. Then “Sry It comes on the next week”. Okey. Today you said it comes now. Then just saw it doesnt come. Wtf is with u amazon?!,prime_subscription,rule_single,True,2
conv_554646,@115821 Don’t know why I bother to pay prime really... not the first time this has happened! @AmazonHelp,prime_subscription,rule_single,True,3
conv_794443,"@AmazonHelp Hi there, I've already reset my password and tried to sign in but it still says itis incorrect. Email is __email__",account_access,rule_single,True,3
conv_314395,"@AmazonHelp Why does Amazon ship beautiful, new books with no protection whatsoever inside a cardboard box? Amazon used to add packing material around the book to cushion the blows. Now books arrive with crushed corners and damaged dust jackets. I won't be ordering any more now.",delivery_issue,rule_conflict,True,1
conv_1937597,@AmazonHelp what is the point of prime membership if the items are always delayed???? Your logistics department is terrible.,prime_subscription,rule_single,True,0
conv_2610721,"@AmazonHelp , hi guys pls help. Pic 1&amp;2 New HDD #wrong socket :  3&amp;4 Pic #old broken drive but correct socket, plz replace ! https://t.co/EQkrrAD2Wu",refund_return,rule_single,True,2
conv_839395,"@AmazonHelp you showed me a “use lower lockers” option once &amp; I didn’t click it, how do I get back to it? Struggled to reach last delivery https://t.co/MrCkoUGAZK",delivery_issue,rule_single,True,1
conv_449921,@AmazonHelp activated a free trial of amazon prime about an hour ago and it still says your membership should be active in a few minutes...,prime_subscription,rule_single,True,0
conv_764782,@AmazonHelp got my sister a gift and it's the wrong item I order now what,order_problem,rule_single,True,1
conv_2770754,@AmazonHelp Order id 402-4048465-0987548 did not received and buyer has been refunded. Also mail has been send to safe t claim team asking for POD. But no response from there end. Need assistance asap.,escalation_needed,rule_multi,True,2
conv_80594,@AmazonHelp buen día tengo activo la autenticación de 2pasos activas. Pero las llamadas con el código para yo poder ingresar a mi cuenta llegan en inglés. Hay alguna forma de que están llamadas pueda yo recibirlas en español?,non_english,rule_single,True,0
conv_535063,@AmazonHelp hi I bought 3 power supply’s about 32 days ago 2 got returned after 2 weeks after they went bang and now the 3rd has blown too. What can I do about it as I’m out of return by 2 days!,refund_return,rule_single,True,3
conv_996728,What happened with the @1016 free book of the month with @115821 Echo @AmazonHelp is it over?,technical_device,rule_single,True,2
conv_293298,@AmazonHelp #amazonlogistics commande effectuée le 03/10 censée être livrée aujourd'hui dans la BAL mais elle est vide,non_english,rule_single,True,0
conv_1736800,@115850 @AmazonHelp M a prime member. Not able to buy Echo Dot device. Where is the early access?,technical_device,rule_conflict,True,2
conv_1548392,@AmazonHelp Como funciona o pagamento por débito online? Desde quarta-feira tento efetuá-lo e não consigo :(,non_english,rule_single,True,1
conv_2461300,@AmazonHelp you are sending an item I ordered to the wrong address,order_problem,rule_single,True,2
conv_418777,"Hey @115821 @AmazonHelp I paid for one day shipping today, in the morning, and I just got notified that it'll be delivered by Wednesday.",delivery_issue,rule_single,True,1
conv_325863,"@AmazonHelp This still hasn't come 2 days after it was supposed to arrive, which was already a push back from last saturday. What's going on https://t.co/Y4zNQW1G6B",delivery_issue,rule_single,True,0
conv_2824770,"@AmazonHelp Complaint raised around 45 days back that not getting subtitles while watching movies with Prime Video on TV
Still not solved",escalation_needed,rule_multi,True,1
conv_371094,@AmazonHelp Bonjour ! J'ai un problème avec ma commande la carte bancaire passe pas https://t.co/BHLswYEIHt,non_english,rule_single,True,0
conv_2881974,@AmazonHelp I want to know why my account is still blocked if I already provide all the required information and it has been 24 hours and no one gives me answers please ask them to contact me to solve this problem I expect answers as soon as possible ... .... Thank you! https://t.co/gcpVUqBCO3,account_access,rule_single,True,3
conv_1742681,@AmazonHelp when will my account will be unlocked...🙄🙄🙄😥😥😥......I need my account to be unlocked please help,account_access,rule_single,True,1
conv_224968,@115850 @AmazonHelp why does Amazon allow fake @11679 to let them use our pay balance. De took  money recharge failed 10 times,billing_payment,rule_single,True,1
conv_120271,"@AmazonHelp due for delivery by 8pm, but not out for delivery yet? Really? I find one of these statements on the same screen hard to believe.  @115830 https://t.co/3R7W1opc3o",delivery_issue,golden,True,1
conv_1739894,@AmazonHelp trying to set up my echo and it wont connect to wifi... have tried all the troubleshoot suggestions but with no success :( #help,technical_device,rule_single,True,0
conv_1221828,"@AmazonHelp I know there is Kindle Audio Upgrade. But is it possible the other way round, too, if I already have the Audio book?",technical_device,rule_single,True,0
conv_455447,@AmazonHelp I made a purchase yesterday and just received an email that I need to contact my bank because the payment couldn't process. It appears that the decimal point was dropped and the system was trying to charge me $26k instead of $260 with change.,billing_payment,rule_single,True,3
conv_2523397,"Thank You @134682 for carefully delivering my Mirror, MARKED FRAGILE, from @AmazonHelp today. https://t.co/9YW4eRQoIY",resolution_confirmation,rule_single,True,2
conv_2984624,@AmazonHelp yeah I seem to feel that “prime now” is officially bullshit and that your drivers are lying. What an incredibly poor experience.,prime_subscription,rule_single,True,1
conv_2754640,"@AmazonHelp Hi there, I'm being charged for both a one off payment and a monthly payment for Amazon Prime - help!",prime_subscription,rule_single,True,1
conv_344109,@AmazonHelp What’s the point of paying for Prime when you can’t get the merch to me when promised? Happening more &amp; more lately. Ridiculous.,prime_subscription,rule_single,True,6
conv_2170832,"@AmazonHelp Hola buenas, podeis mirar mi privado cuando podais porfa? graciass &lt;3",non_english,rule_single,True,1
conv_1626319,@AmazonHelp my account is stuck on being on student mode and I don't know how to change it! I want to have prime in monthly instalments,prime_subscription,rule_single,True,0
conv_785805,"@AmazonHelp my account __email__ is locked for unknown reasons, &amp; i didnt get any emails for unlocking it. please help",account_access,rule_single,True,4
conv_283052,"@AmazonHelp Order #406-5192140-6921118 arriving late need to escalate this on urgent basis SOS.
#Highpriority #Prime https://t.co/K4w4fmhZUW",escalation_needed,rule_multi,True,2
conv_2531371,@AmazonHelp I emailed but haven’t heard anything. I’ve been charged twice for a kids kindle fire! Please advise,billing_payment,rule_multi,True,3
conv_795736,"Amazon is the worst e-commerce in india , they delivered me a empty box for my one plus5 mobile phone #chorcompany @AmazonHelp",delivery_issue,rule_single,True,0
conv_2698879,"@AmazonHelp est-ce qu'il y a un moyen d'être sûre que ça soit ""un original"" ??",non_english,rule_single,True,0
conv_2509248,Bro.. I've received the wrong case from @115821 3 times in a row.  @AmazonHelp y'all got some explaining to do,order_problem,rule_single,True,2
conv_1541022,...how is it possible that my #FireTV remote died the same day my device can't find the app? @AmazonHelp omg,non_english,rule_multi,True,0
conv_422303,Can I please know the status of my shipment.  Your courier guys are becoming more and more rude and weird. @AmazonHelp @115850,delivery_issue,rule_single,True,0
conv_1519008,@AmazonHelp  No one seems to be able to give me a straight answer. I’m not looking for a return policy on a preordered game...,refund_return,rule_single,True,1
conv_758950,@AmazonHelp unlock my account please! I can't purchase my order virtual Yandex money MasterCard. I sent fax and email with billing address,billing_payment,rule_single,True,1
conv_609401,@AmazonHelp getting text massage product is delivered without getting delivery......how possible....?,delivery_issue,rule_single,True,0
conv_917035,"@AmazonHelp 
I am prime customer but i haven't receive my order yet ..
I am waiting waiting and waiting https://t.co/Dj199xHW73",prime_subscription,rule_single,True,1
conv_2745897,"Thank goodness for 2 factor. Just got 3 emails from @115821 saying “to verify your identity, use the following code.” Password change time @AmazonHelp",resolution_confirmation,rule_multi,True,2
conv_2786240,"@AmazonHelp Bonjour, je suis sensé être livré en amazon locker, mais je n'ai pas reçu le code, une aide possible ?",non_english,rule_single,True,0
conv_2744185,@AmazonHelp dear team below i mentioned my order could u please  sent me till 23-11-2017. its request to amazon team(india) thanks. https://t.co/iWT9Ye81ly,escalation_needed,rule_single,True,0
conv_1263069,"Wow. Pakete sorgsam behandeln ist wohl zu schwierig :‘&gt;
@124285 @AmazonHelp https://t.co/wBVYRAj9WX",non_english,rule_single,True,0
conv_2945526,"@AmazonHelp  why is it such a nightmare finding someone to help with amazon? Have followed all instructions to delete items off kindle and ""permanently delete button is greyed out"". #humanplease .thanks",technical_device,rule_single,True,0
conv_396013,Please get back to me ASAP @115850 Unable to reach your customer service. No response to email either @AmazonHelp,escalation_needed,rule_single,True,1
conv_1667210,@115850 @AmazonHelp Hi team need your help for my an order. Can you guys help,escalation_needed,rule_single,True,5
conv_609393,"@AmazonHelp hi, following a missing order I’ve had a refund processed but it is short by £26, what do I do?",delivery_issue,rule_multi,True,3
conv_1443253,"@AmazonHelp @115821 @115850 your department is not replying , i have raised concern regarding the refund its been 10-12 days #worstservice",refund_return,rule_single,True,5
conv_28437,@AmazonHelp versendet ihr heute Call of Duty WW2 oder erst morgen ! Weil das Spiel Freitag raus kommt 🙈😂 hoffe es kommt pünktlich an bei mir,non_english,rule_single,True,0
conv_1277441,@AmazonHelp @115850 Order #406-8190080-6186743 please escalate priority for this order as this is required by tomorrow on urgent basis.,escalation_needed,rule_single,True,7
conv_282725,"@AmazonHelp I ordered something for same day delivery, cancelled an hour later when will I get my refund?",delivery_issue,golden,True,0
conv_1229652,@AmazonHelp hi! i have a bank charge for audible. however cancelled subscription last month&amp;dont have an membership on either amazon account,prime_subscription,rule_single,True,0
conv_183716,"@AmazonHelp I'm facing issue linking my kindle edition to print version. In spite of many emails, it's not getting resolved. What can I do?",technical_device,rule_single,True,1
conv_2103000,"as if @115821 just charged me £30 to my a/c for no reason, then i called @AmazonHelp and waited for 20 mins just for them to say their systems are down - idiots.",billing_payment,rule_single,True,0
conv_2064364,"@115850 @AmazonHelp 
My subscription of amazon prime is going to end soon, so i thought not to renew it
As the services r not good lately",prime_subscription,rule_single,True,5
conv_601305,@AmazonHelp Amazon delivered my package to the wrong address.  They replaced the item but now want me to send back the original that I never got.  What do I do?,delivery_issue,rule_multi,True,1
conv_2823119,"Thanks @115830 for saying my parcel had been handed to resident, only to go in search of it this morning and find it was outside my neighbours house after being in the pouring rain all night 😑🙄 @AmazonHelp",resolution_confirmation,rule_multi,True,2
conv_2760918,"@AmazonHelp 
I have 2 order in my account
And only 1 order was charged .
I want to know what it takes to complete the 2 order? https://t.co/W7vYXt4yEq",billing_payment,rule_single,True,3
conv_1405313,@AmazonHelp What is the differnece between prime reading and unlimited? Which one is free for prime members without additional services? 1/2,prime_subscription,rule_single,True,1
conv_831576,"@118919   #Amazon Order ID 405-8655701-8213919, please refund my money @AmazonHelp @115821",refund_return,rule_multi,True,2
conv_1108280,"@AmazonHelp for some reason, there is no option in the prime membership tab to cancel my prime membership, what do I do?",prime_subscription,rule_single,True,0
conv_108285,😱😭😲😤😖😡😠 Nicht wirklich! Wieso habe ich vorbestellt??? @AmazonHelp https://t.co/QDShxmR9q7,non_english,rule_single,True,0
conv_2508106,@115821 @AmazonHelp I tried your 30 day free Prime Service 3 weeks ago. Didn’t get products 2 out of 3 times. Customer Service has told me 2 just reorder &amp; wait. I asked 4 them 2 call local station 2 find out if driver-stole or incompetent. They said not allowed. Help!,prime_subscription,rule_single,True,3
conv_1912024,@AmazonHelp Keep getting this message every time i try to go to checkout? Then the app keeps closing? https://t.co/qV2ZfBVGWR,non_english,rule_single,True,1
conv_115874,"@AmazonHelp hice una compra y ya me hicieron el cargo, pero en el banco tienen mi saldo retenido por un cargo pendiente de esa compra, no debería de estar liberado ya?",non_english,rule_single,True,0
conv_783340,"@123644 @22030 @AmazonHelp @115851 I have raised this concern multiple times,when I am in free tier why am I being charged?Care to answer https://t.co/qgI6XhuFOm",billing_payment,rule_single,True,0
conv_2600928,Merci @AmazonHelp @120533 https://t.co/SWMCYXUGkZ,non_english,rule_single,True,0
conv_2958680,"@115830 @AmazonHelp I bot a Kindle Fire for a family member, they turn it on for first time and it's logged into my account, they can see my photos etc. What kind of security do you call this?",technical_device,rule_single,True,1
conv_1098615,@AmazonHelp I have sent a DM in regard to an unexpected Prime charge,prime_subscription,rule_conflict,True,1
conv_2176732,"@AmazonHelp How do I make a complaint to Amazon UK, please? Useless chat service and phone helpline has wasted half my day.",escalation_needed,rule_single,True,1
conv_1773996,"@AmazonHelp my bank was charged for Amazon Prime and i misspelled my email while signing up, i want a refund!",refund_return,rule_multi,True,1
conv_577728,@115821 @AmazonHelp Ive been a prime member for years. Order DAILY. And I now can't get anything on time. Not one package. Most get lost and I end up having to go to Walmart to purchase things. You are about to lose a serious customer.,delivery_issue,rule_multi,True,2
conv_886150,"Hey @115821, how many times do I have to complain about damaged packages at my new address until you actually do something? @AmazonHelp https://t.co/9ljZtfpdUa",order_problem,rule_single,True,0
conv_2444072,@116618 @AmazonHelp Why am I suffering audio drop out on episodes of The Walking Dead and Red Oaks on New Fire TV? Not happening on other devices!,technical_device,rule_single,True,0
conv_608102,"@AmazonHelp Hello I ordered yesterday and I paid for it but I need to change the billing address, how can I do it?",billing_payment,rule_single,True,1
conv_1270132,"@115850 @AmazonHelp 

Purchased Prime membership, still waiting for my cashback.

SS attached https://t.co/Y1PEEXiMk2",prime_subscription,rule_single,True,0
conv_1745587,Merci à @120533 et au service FBA qui a perdu notre nouvelle collection. Comment ruiner une entreprise ? Une honte ! @AmazonHelp,non_english,rule_single,True,0
conv_1043588,@AmazonHelp @115850 Hi Team I have  raised refund request 1 Month back... Still no update on since product has been returned last month.,escalation_needed,rule_multi,True,1
conv_530824,"@AmazonHelp hi, I was expecting 3 orders yesterday but only got 2. Any ideas? Tracking ID is Q10341441984 😊",delivery_issue,rule_single,True,5
conv_1318246,@AmazonHelp Amazon is fraud they looted my hard earn money.  I order from there store and don't receive my goods.,escalation_needed,rule_multi,True,2
conv_2132877,@AmazonHelp amazon seller make me fool send me different item but amazon can’t take any action i really dissapoint with amazon please help me order id #404-2077168-8785924,billing_payment,golden,True,1
conv_457754,@AmazonHelp @137599 my copy of destiny 2 was cancelled because we used the same card to pay on each account and every person I’ve talked to in CS has told me to just buy it again at more than double the price it was when I purchased it,billing_payment,golden,True,0
conv_2296511,@AmazonHelp where can I direct a complaint to? Ordered a package with prime delivery and have not received it?,escalation_needed,rule_multi,True,2
conv_312103,@AmazonHelp what a bad service. Cannot keep promise of guarantee delivery. Bad CS department n courier service. Where is my product? @115821,delivery_issue,rule_single,True,2
conv_69754,Das ist nicht euer ernst oder?? @116316 @AmazonHelp https://t.co/cGC94D9MVJ,non_english,rule_single,True,0
conv_77636,"@115850 @AmazonHelp  Still not get satisfied explanation from your represrntatives

i need my all money back to my bank account

i did not want to buy anything from your site your services are poor
dont trap me",refund_return,rule_multi,True,6
conv_2490591,@AmazonHelp How long should I wait to hear back about an investigation into damaged packaging?,order_problem,rule_single,True,0
